,index,NCTId,Inclusion,Exclusion,description,cluster
204,4,NCT00587886,"Diagnosed with epithelial endometrial or ovarian cancer within the year before being contacted (cases)
Aged 21 and over
Residents of Essex, Union, Morris, Middlesex, Bergen, or Hudson counties, NJ
Black women with and without endometrial cancer who are seeing gynecologists at MSKCC","Unable to sign informed consent
Consent withheld by physician (cases)
Hysterectomy (controls)
Do not speak English or Spanish","Diagnosed with epithelial endometrial or ovarian cancer within the year before being contacted (cases)
Aged 21 and over
Residents of Essex, Union, Morris, Middlesex, Bergen, or Hudson counties, NJ
Black women with and without endometrial cancer who are seeing gynecologists at MSKCCUnable to sign informed consent
Consent withheld by physician (cases)
Hysterectomy (controls)
Do not speak English or Spanish",1
205,5,NCT01030159,Patients with cancer,,Patients with cancerN/A,1
206,6,NCT02043158,"For the long-term survivor group: alive for at least seven years post-diagnosis.
At least 18 years of age.
Can speak and read English.
diagnosed with stage III-IV ovarian, peritoneal or fallopian tube cancer","Are in hospice or about to be referred to hospice within the next 3-6 weeks.
Are not oriented to time, person, or place.","For the long-term survivor group: alive for at least seven years post-diagnosis.
At least 18 years of age.
Can speak and read English.
diagnosed with stage III-IV ovarian, peritoneal or fallopian tube cancerAre in hospice or about to be referred to hospice within the next 3-6 weeks.
Are not oriented to time, person, or place.",6
207,7,NCT04298489,"Adult patients between 18 and 70 years old, male or female;
Voluntary patient consent；
Treatment-naïve, stage III/IV gastrointestinal cancer patients with pathology confirmation；
According clinical researcher, patient has operable tumor lesion, and tumor tissue can be obtained through surgical removal;
Good tolerability to standard chemotherapy regimen；
ECOG status <3；
Estimated survival time no less than 6 months；
Patient has at least one measurable disease lesion (according to RECIST1.1).","Patient has received any prior anti-cancer treatment;
Participated in any other clinical study within 6 months;
Women currently breast feeding or pregnant;
Severe liver or kidney function impairment (Live function: TBIL ≤1.5×ULN，ALT & AST≤2.5×ULN);
Patients with liver metastasis ≤5.0×ULN；Kidney function：Cr ≤1.5×ULN and creatinine clearance rate≥ 50 mL/min (according to the Cockcroft-Gault formula);
Patients with cognitive impairment, psychological disease, or poor compliance;
Allergic to known chemotherapy ingredients;
Other factors researchers deemed not suitable for study participation.","Adult patients between 18 and 70 years old, male or female;
Voluntary patient consent；
Treatment-naïve, stage III/IV gastrointestinal cancer patients with pathology confirmation；
According clinical researcher, patient has operable tumor lesion, and tumor tissue can be obtained through surgical removal;
Good tolerability to standard chemotherapy regimen；
ECOG status <3；
Estimated survival time no less than 6 months；
Patient has at least one measurable disease lesion (according to RECIST1.1).Patient has received any prior anti-cancer treatment;
Participated in any other clinical study within 6 months;
Women currently breast feeding or pregnant;
Severe liver or kidney function impairment (Live function: TBIL ≤1.5×ULN，ALT & AST≤2.5×ULN);
Patients with liver metastasis ≤5.0×ULN；Kidney function：Cr ≤1.5×ULN and creatinine clearance rate≥ 50 mL/min (according to the Cockcroft-Gault formula);
Patients with cognitive impairment, psychological disease, or poor compliance;
Allergic to known chemotherapy ingredients;
Other factors researchers deemed not suitable for study participation.",10
208,8,NCT00550134,"Patient is 18 years of age but not older than 70years of age
Patient is female
Patient is able to understand English, through verbal and written communication
In the judgment of the investigator and/or the consenting professional patient is able to provide informed consent
Patient has a diagnosis of breast cancer (stage 0, I, II or IIIA-C), limited to localized disease,
Patient is chemotherapy naïve and is receiving chemotherapy or is scheduled to receive no chemotherapy as part of adjuvant treatment
Patient does not report history of prior breast or other cancer with the exception of non-melanoma skin cancer and/or participants who completed treatment for a previous cancer at least 5 years ago and have not undergone any chemotherapy.
Patient is able to undergo MRI scanning (verified with pre MRI Safety Screening form),
Patient can comfortably fit inside the MRI machine, verified by back to chest measurement no more than 10 inches or bust circumference of no more than 48 inches.","Patient has documented evidence of cognitive compromise (Blessed- Orientation Memory Cognition Test score > 11
Patient has a history of neurological disorder with cognitive symptoms (e.g., Alzheimer's disease, Parkinson's disease, multiple sclerosis)
Patient is Pregnant as confirmed by urine pregnancy test. Participants who are post menopausal or have had a hysterectomy do not need a pregnancy test
Patient is currently on daily medication for migraine or, insulin-dependent diabetes requiring administration by injection,
Patient has uncontrollable hypertension as per self report or as documented in the medical record
Patient has a reported fear of enclosed spaces (Claustrophobia)
Patient has any of the following items that preclude fMRI evaluation
Cardiac pacemaker, Joint replacements, Aneurysm clips, Transdermal patched, Aortic clips, Prosthesis, Intracranial bypass clips, Harrington rod , Coronary Artery bypass clips, Biostimulator, Renal Transplant Clips, Bone or joint pins, Other vascular clips or filters, Tissue expander ,Implanted neurostimulators, Metal mesh, Artificial heart valve, Stents, Insulin pump, Wire structures, Electrodes, Shrapnel/bullets, Hearing Aids implant, Implanted electrical devices, IUD, Metal in eyes, Shunts, Ocular Implants, Hair extensions, Hair implants, Tattoos above the waist, Any possible metal in body
Patient has dentures, body jewelry or wig that they are unable to remove
History of head injury with evidence of brain injury or loss of consciousness for > 60 minutes or cognitive sequelae
Untreated or current episode of depression (answering positively to either of the two screening questions from the PHQ-9 (Kroenke, et al., 2001)
Self-reported sleep disorders that could influence cognitive functioning including sleep apnea and and narcolepsy
History of Axis I psychiatric disorder (DSM-IV), major affective disorder (untreated), bipolar disorder, schizophrenia disorder (DSM-IV) or substance use disorders (self reported and/or stated in medical record)
History of schizophrenia, bipolar disorder or substance use disorders
Patient is unwilling to undergo fMRI component if selected
Patient has undergone previous chemotherapy treatment

Healthy Control Inclusion Criteria:

Participant is 18 years of age but not older than 70 years of age,
Participant is female
Participant is able to understand English, through verbal and written communication
In the judgment of the investigator and/or the consenting professional participant is able to provide informed consent
Patient is able to undergo MRI scanning (verified with pre MRI Safety Screening form)
Patient can comfortably fit inside the MRI machine, verified by back to chest measurement no more than 10 inches or bust circumference of no more than 48 inches.

Healthy Control Exclusion Criteria:

-Participant has Documented evidence of severe cognitive compromise (Blessed- Orientation Memory Cognition Test score > 11

Participant has a history of neurological disorder with cognitive symptoms (e.g., Alzheimer's disease, Parkinson's disease, multiple sclerosis).
Participant is pregnant as indicated by urine pregnancy test,
As per self report participant is currently on daily medication for migraine, or , insulin dependent diabetes requiring administration by injection,
As per self report participant has uncontrollable hypertension,
As per self report, participant has a reported fear of enclosed spaces (Claustrophobia)
As per self report, participant has any of the following items that preclude fMRI evaluation Cardiac pacemaker, Joint replacements, Aneurysm clips, Transdermal patched, Aortic clips Prosthesis, Intracranial bypass clips, Harrington rod , Coronary Artery bypass clips, Biostimulator, Renal Transplant Clips, Bone or joint pins, Other vascular clips or filters, Tissue expander ,Implanted neurostimulators, Metal mesh, Artificial heart valve, Stents, Insulin pump, Wire structures, Electrodes, Shrapnel/bullets, Hearing Aids implant, Implanted electrical devices, IUD, Metal in eyes, Shunts, Ocular Implants, Hair extensions, Hair implants, Tattoos above the waist, Any possible metal in body
As per self report, participant has dentures, body jewelry or wig that they are unable to remove
As per self report, participant has a history of head injury with evidence of brain injury or loss of consciousness for > 60 minutes or cognitive sequelae
As per self report, participant has untreated or current episode of depression (answering positively to either of the two screening questions from the PHQ-9 (Kroenke, et al., 2001)
As per self report, participant has sleep disorders that could influence cognitive functioning including sleep apnea and narcolepsy,
As per self report, participant has history of Axis I psychiatric disorder (DSM-IV), major affective disorder (untreated), bipolar disorder, schizophrenia disorder (DSM-IV) or substance use disorders
As per self report, participant has undergone previous chemotherapy treatment.","Patient is 18 years of age but not older than 70years of age
Patient is female
Patient is able to understand English, through verbal and written communication
In the judgment of the investigator and/or the consenting professional patient is able to provide informed consent
Patient has a diagnosis of breast cancer (stage 0, I, II or IIIA-C), limited to localized disease,
Patient is chemotherapy naïve and is receiving chemotherapy or is scheduled to receive no chemotherapy as part of adjuvant treatment
Patient does not report history of prior breast or other cancer with the exception of non-melanoma skin cancer and/or participants who completed treatment for a previous cancer at least 5 years ago and have not undergone any chemotherapy.
Patient is able to undergo MRI scanning (verified with pre MRI Safety Screening form),
Patient can comfortably fit inside the MRI machine, verified by back to chest measurement no more than 10 inches or bust circumference of no more than 48 inches.Patient has documented evidence of cognitive compromise (Blessed- Orientation Memory Cognition Test score > 11
Patient has a history of neurological disorder with cognitive symptoms (e.g., Alzheimer's disease, Parkinson's disease, multiple sclerosis)
Patient is Pregnant as confirmed by urine pregnancy test. Participants who are post menopausal or have had a hysterectomy do not need a pregnancy test
Patient is currently on daily medication for migraine or, insulin-dependent diabetes requiring administration by injection,
Patient has uncontrollable hypertension as per self report or as documented in the medical record
Patient has a reported fear of enclosed spaces (Claustrophobia)
Patient has any of the following items that preclude fMRI evaluation
Cardiac pacemaker, Joint replacements, Aneurysm clips, Transdermal patched, Aortic clips, Prosthesis, Intracranial bypass clips, Harrington rod , Coronary Artery bypass clips, Biostimulator, Renal Transplant Clips, Bone or joint pins, Other vascular clips or filters, Tissue expander ,Implanted neurostimulators, Metal mesh, Artificial heart valve, Stents, Insulin pump, Wire structures, Electrodes, Shrapnel/bullets, Hearing Aids implant, Implanted electrical devices, IUD, Metal in eyes, Shunts, Ocular Implants, Hair extensions, Hair implants, Tattoos above the waist, Any possible metal in body
Patient has dentures, body jewelry or wig that they are unable to remove
History of head injury with evidence of brain injury or loss of consciousness for > 60 minutes or cognitive sequelae
Untreated or current episode of depression (answering positively to either of the two screening questions from the PHQ-9 (Kroenke, et al., 2001)
Self-reported sleep disorders that could influence cognitive functioning including sleep apnea and and narcolepsy
History of Axis I psychiatric disorder (DSM-IV), major affective disorder (untreated), bipolar disorder, schizophrenia disorder (DSM-IV) or substance use disorders (self reported and/or stated in medical record)
History of schizophrenia, bipolar disorder or substance use disorders
Patient is unwilling to undergo fMRI component if selected
Patient has undergone previous chemotherapy treatment

Healthy Control Inclusion Criteria:

Participant is 18 years of age but not older than 70 years of age,
Participant is female
Participant is able to understand English, through verbal and written communication
In the judgment of the investigator and/or the consenting professional participant is able to provide informed consent
Patient is able to undergo MRI scanning (verified with pre MRI Safety Screening form)
Patient can comfortably fit inside the MRI machine, verified by back to chest measurement no more than 10 inches or bust circumference of no more than 48 inches.

Healthy Control Exclusion Criteria:

-Participant has Documented evidence of severe cognitive compromise (Blessed- Orientation Memory Cognition Test score > 11

Participant has a history of neurological disorder with cognitive symptoms (e.g., Alzheimer's disease, Parkinson's disease, multiple sclerosis).
Participant is pregnant as indicated by urine pregnancy test,
As per self report participant is currently on daily medication for migraine, or , insulin dependent diabetes requiring administration by injection,
As per self report participant has uncontrollable hypertension,
As per self report, participant has a reported fear of enclosed spaces (Claustrophobia)
As per self report, participant has any of the following items that preclude fMRI evaluation Cardiac pacemaker, Joint replacements, Aneurysm clips, Transdermal patched, Aortic clips Prosthesis, Intracranial bypass clips, Harrington rod , Coronary Artery bypass clips, Biostimulator, Renal Transplant Clips, Bone or joint pins, Other vascular clips or filters, Tissue expander ,Implanted neurostimulators, Metal mesh, Artificial heart valve, Stents, Insulin pump, Wire structures, Electrodes, Shrapnel/bullets, Hearing Aids implant, Implanted electrical devices, IUD, Metal in eyes, Shunts, Ocular Implants, Hair extensions, Hair implants, Tattoos above the waist, Any possible metal in body
As per self report, participant has dentures, body jewelry or wig that they are unable to remove
As per self report, participant has a history of head injury with evidence of brain injury or loss of consciousness for > 60 minutes or cognitive sequelae
As per self report, participant has untreated or current episode of depression (answering positively to either of the two screening questions from the PHQ-9 (Kroenke, et al., 2001)
As per self report, participant has sleep disorders that could influence cognitive functioning including sleep apnea and narcolepsy,
As per self report, participant has history of Axis I psychiatric disorder (DSM-IV), major affective disorder (untreated), bipolar disorder, schizophrenia disorder (DSM-IV) or substance use disorders
As per self report, participant has undergone previous chemotherapy treatment.",9
209,9,NCT03257917,All female MBC patients 18 years of age and older who have received treatment within the past two years at UAB,"Non-English speakers, patients residing in nursing homes or receiving hospice care","All female MBC patients 18 years of age and older who have received treatment within the past two years at UABNon-English speakers, patients residing in nursing homes or receiving hospice care",6
210,10,NCT03973307,"Patients aged ≥ 18 years of age
Patients under investigation for bladder cancer due to undergo investigative standard of care biopsy","Patients aged < 18 years of age
Patients who are currently undergoing radiation therapy.
Proposed subject has no bladder (due to surgical removal).
No cystoscopy and/or pathology information for proposed subject (following cystoscopy for final inclusion in study results)
Patients unable or unwilling to provide consent
Patients currently on investigational drug trials
Patients with Catheter in Situ","Patients aged ≥ 18 years of age
Patients under investigation for bladder cancer due to undergo investigative standard of care biopsyPatients aged < 18 years of age
Patients who are currently undergoing radiation therapy.
Proposed subject has no bladder (due to surgical removal).
No cystoscopy and/or pathology information for proposed subject (following cystoscopy for final inclusion in study results)
Patients unable or unwilling to provide consent
Patients currently on investigational drug trials
Patients with Catheter in Situ",18
211,11,NCT02556281,"Male or female, age superior to 18 years.
Histologically confirmed colonic or rectal adenocarcinoma.
stage II or III (TNM classification).
Curative resection (R0)
Absence of metastasis (abdominal ultrasonography or CTscan and pulmonary Rx or CTscan) in exams performed within 4 weeks.
ECOG performance status <3.
Signed and dated informed consent document.","Metastatic disease.
Familial adenomatous polyposis
Prior chemotherapy and or radiotherapy within 6 weeks
Medical history of cancer within 5 years except: basocellular cutaneous neoplasia and intraepithelial neoplasia of the cervix","Male or female, age superior to 18 years.
Histologically confirmed colonic or rectal adenocarcinoma.
stage II or III (TNM classification).
Curative resection (R0)
Absence of metastasis (abdominal ultrasonography or CTscan and pulmonary Rx or CTscan) in exams performed within 4 weeks.
ECOG performance status <3.
Signed and dated informed consent document.Metastatic disease.
Familial adenomatous polyposis
Prior chemotherapy and or radiotherapy within 6 weeks
Medical history of cancer within 5 years except: basocellular cutaneous neoplasia and intraepithelial neoplasia of the cervix",6
212,12,NCT01762813,"Diagnosis of colorectal cancer, primary or metastatic (liver), with a treatment intention of planned curative surgery
Informed consent to participate
Age ≥18",failure to provide written informed consent,"Diagnosis of colorectal cancer, primary or metastatic (liver), with a treatment intention of planned curative surgery
Informed consent to participate
Age ≥18failure to provide written informed consent",13
213,13,NCT04168931,"Age 18 or over
Histological diagnosis of recurrent or metastatic gastric cancer
Immunohistochemistry (IHC 0 or 1+) or FISH negative (if IHQ 2+) for HER2 on tissue biopsy, according to institutional routine
Candidates to initiate first-line palliative treatment; Previous adjuvant treatment is allowed since its termination occurred at least 12 months ago
ECOG performance range 0 to 2
Informed consent form signed by patient or legal representative","Patients already on or previously using anti-HER2 therapy
Left ventricular ejection fraction (LVEF) <55% baseline, as already evaluated in the gastric cancer routine
Pregnant or lactating women
Patients participating in other experimental drug protocols
Patients who received previous palliative chemotherapy
Another synchronic neoplasia requiring systemic treatment","Age 18 or over
Histological diagnosis of recurrent or metastatic gastric cancer
Immunohistochemistry (IHC 0 or 1+) or FISH negative (if IHQ 2+) for HER2 on tissue biopsy, according to institutional routine
Candidates to initiate first-line palliative treatment; Previous adjuvant treatment is allowed since its termination occurred at least 12 months ago
ECOG performance range 0 to 2
Informed consent form signed by patient or legal representativePatients already on or previously using anti-HER2 therapy
Left ventricular ejection fraction (LVEF) <55% baseline, as already evaluated in the gastric cancer routine
Pregnant or lactating women
Patients participating in other experimental drug protocols
Patients who received previous palliative chemotherapy
Another synchronic neoplasia requiring systemic treatment",2
214,14,NCT01077648,"Initially diagnosed with American Joint Commission on Cancer (AJCC) stage III or stage IV breast cancer between January 1, 1995 through December 31, 2007 -OR- diagnosed with AJCC stage I or II breast cancer and progressed to stage III or IV disease between January 1, 1995 through December 31, 2007;
At least one year of follow-up after initial diagnosis (among patients who did not die before one year of follow-up); and
Age 30 years or older at diagnosis.","Does not have at least one year of follow-up after initial diagnosis (among patients who did not die before one year of follow-up); and
Age less than 30 years or older at diagnosis.","Initially diagnosed with American Joint Commission on Cancer (AJCC) stage III or stage IV breast cancer between January 1, 1995 through December 31, 2007 -OR- diagnosed with AJCC stage I or II breast cancer and progressed to stage III or IV disease between January 1, 1995 through December 31, 2007;
At least one year of follow-up after initial diagnosis (among patients who did not die before one year of follow-up); and
Age 30 years or older at diagnosis.Does not have at least one year of follow-up after initial diagnosis (among patients who did not die before one year of follow-up); and
Age less than 30 years or older at diagnosis.",6
215,15,NCT01328028,"A female aged 18 years and above at the time of cervical specimen collection, and currently residing in New Zealand.
Histological diagnoses of invasive cervical cancer stage IB or greater, within at least the last 3 years.
Written informed consent obtained from the subject/ next of kin/ Legally acceptable representative.
Availability of cervical specimen on which the diagnosis was made prior to any chemotherapy or radiotherapy.
The cervical specimen should be of appropriate size and with regular tissue specimens.
The cervical specimen should be adequately preserved.
All links to the subject's identity should be removed from the paraffin block.",Not Applicable.,"A female aged 18 years and above at the time of cervical specimen collection, and currently residing in New Zealand.
Histological diagnoses of invasive cervical cancer stage IB or greater, within at least the last 3 years.
Written informed consent obtained from the subject/ next of kin/ Legally acceptable representative.
Availability of cervical specimen on which the diagnosis was made prior to any chemotherapy or radiotherapy.
The cervical specimen should be of appropriate size and with regular tissue specimens.
The cervical specimen should be adequately preserved.
All links to the subject's identity should be removed from the paraffin block.Not Applicable.",11
216,16,NCT02067754,"Patients older than 20 years
Patients with histologically confirmed metastatic gastrointestinal cancer, genitourinary cancer , rare cancer with treated any anti-cancer therapy
Written informed consent form",Concurrent disease or condition that would make the subject inappropriate for study participation or any serious medical condition that would interfere with the subject's safety.,"Patients older than 20 years
Patients with histologically confirmed metastatic gastrointestinal cancer, genitourinary cancer , rare cancer with treated any anti-cancer therapy
Written informed consent formConcurrent disease or condition that would make the subject inappropriate for study participation or any serious medical condition that would interfere with the subject's safety.",2
217,17,NCT01415375,"45 to 70 year old
African descent
accessible by telephone
have primary care physician","Prostate cancer test in 12 months prior to enrollment
History of prostate cancer","45 to 70 year old
African descent
accessible by telephone
have primary care physicianProstate cancer test in 12 months prior to enrollment
History of prostate cancer",8
218,18,NCT02345473,"Prior trans urethral resection of the bladder (TUR)
Histological confirmation of a transitional cell carcinoma (TCC) of the bladder
ECOG Performance Status ≤ 2
WBC count ≥4,000/μL; platelet count ≥150,000/μL; creatinine ≤1.8 mg/dL; AST, ALT, and alkaline phosphatase ≤2X the upper limit of normal, normal total bilirubin
recent (within 6 weeks of cystectomy) total body CT imaging study excluding distant metastases as well as upper urinary tract TCC","Neo-adjuvant chemotherapy (either planned or already performed)
Patients receiving investigational medications
Subjects not suitable for a radical cystectomy
Patients not willing to participate","Prior trans urethral resection of the bladder (TUR)
Histological confirmation of a transitional cell carcinoma (TCC) of the bladder
ECOG Performance Status ≤ 2
WBC count ≥4,000/μL; platelet count ≥150,000/μL; creatinine ≤1.8 mg/dL; AST, ALT, and alkaline phosphatase ≤2X the upper limit of normal, normal total bilirubin
recent (within 6 weeks of cystectomy) total body CT imaging study excluding distant metastases as well as upper urinary tract TCCNeo-adjuvant chemotherapy (either planned or already performed)
Patients receiving investigational medications
Subjects not suitable for a radical cystectomy
Patients not willing to participate",20
219,19,NCT01393470,"Trial Cohort (16-17 years at baseline) - the cohort of Finnish subjects who participated in the GSK Biologicals' HPV-008 trial (NCT00122681):
Cohort A: subjects who received HPV-16/18 L1 VLP AS04 vaccine between May 2004 and May 2005.
Cohort B: subjects who received the Hepatitis A control vaccine. All subjects were offered the HPV-16/18 L1 VLP AS04 vaccine at the end of the study (age 21-22).
Cohort B1: subjects who received the Hepatitis A control vaccine and then received cross-over HPV vaccination at HPV-008 study end.
Cohort B2: subjects who received the Hepatitis A control vaccine and who did not receive cross-over HPV vaccination at HPV-008 study end.
Referent cohort (18-19 years at baseline):
Cohort C: A population-based reference cohort of female subjects from Finland who have not been exposed to any HPV vaccine enrolled in this study in May 2005, immediately after recruitment of the HPV-008 clinical trial subjects had been stopped (approximately 9,000 subjects).","Trial Cohort (Cohort A and B): Previous or planned administration of an HPV vaccine not foreseen by the HPV-008 study protocol or any HPV-008 extension study protocol (Gardasil or any experimental HPV vaccine).
Referent cohort (Cohort C): Previous or planned administration of an HPV vaccine (Cervarix, Gardasil or any experimental HPV vaccine).","Trial Cohort (16-17 years at baseline) - the cohort of Finnish subjects who participated in the GSK Biologicals' HPV-008 trial (NCT00122681):
Cohort A: subjects who received HPV-16/18 L1 VLP AS04 vaccine between May 2004 and May 2005.
Cohort B: subjects who received the Hepatitis A control vaccine. All subjects were offered the HPV-16/18 L1 VLP AS04 vaccine at the end of the study (age 21-22).
Cohort B1: subjects who received the Hepatitis A control vaccine and then received cross-over HPV vaccination at HPV-008 study end.
Cohort B2: subjects who received the Hepatitis A control vaccine and who did not receive cross-over HPV vaccination at HPV-008 study end.
Referent cohort (18-19 years at baseline):
Cohort C: A population-based reference cohort of female subjects from Finland who have not been exposed to any HPV vaccine enrolled in this study in May 2005, immediately after recruitment of the HPV-008 clinical trial subjects had been stopped (approximately 9,000 subjects).Trial Cohort (Cohort A and B): Previous or planned administration of an HPV vaccine not foreseen by the HPV-008 study protocol or any HPV-008 extension study protocol (Gardasil or any experimental HPV vaccine).
Referent cohort (Cohort C): Previous or planned administration of an HPV vaccine (Cervarix, Gardasil or any experimental HPV vaccine).",3
220,20,NCT01299493,"Community health center in the Saint Louis Metropolitan Area, including Southern Illinois
Participant in Partnership Planning Process
Affiliated with the Washington University Program for the Elimination of Cancer Disparities","Primary patient population has private health insurance.
Not in an medically underserved area.","Community health center in the Saint Louis Metropolitan Area, including Southern Illinois
Participant in Partnership Planning Process
Affiliated with the Washington University Program for the Elimination of Cancer DisparitiesPrimary patient population has private health insurance.
Not in an medically underserved area.",1
221,21,NCT02441140,"Female
Age ≥ 18
Able to give informed consent
Scheduled for surgery at Brigham and Women's Hospital for known or highly suspected Stage III or IV ovarian cancer (i.e. elevated CA-125 with a pelvic mass, ascites, and carcinomatosis)
Post-menopausal or negative urine and/or blood pregnancy test
Measurable disease on preoperative imaging","Male
Age < 18
Unable to give informed consent
Not planned for surgical intervention
Active malignancy other than ovarian cancer
Prior bilateral tubal ligation or hysterectomy (as this would prevent chromopertubation)
Known or suspected active pelvic infection
Pregnancy
No measurable disease or suspected Stage I or II ovarian cancer on preoperative imaging","Female
Age ≥ 18
Able to give informed consent
Scheduled for surgery at Brigham and Women's Hospital for known or highly suspected Stage III or IV ovarian cancer (i.e. elevated CA-125 with a pelvic mass, ascites, and carcinomatosis)
Post-menopausal or negative urine and/or blood pregnancy test
Measurable disease on preoperative imagingMale
Age < 18
Unable to give informed consent
Not planned for surgical intervention
Active malignancy other than ovarian cancer
Prior bilateral tubal ligation or hysterectomy (as this would prevent chromopertubation)
Known or suspected active pelvic infection
Pregnancy
No measurable disease or suspected Stage I or II ovarian cancer on preoperative imaging",16
222,22,NCT02777996,"Resident in the catchment area, in the list of GP's
Current smoker
Ex-smoker (<8years)","Non smoker
Ex-smoker (=>8years)","Resident in the catchment area, in the list of GP's
Current smoker
Ex-smoker (<8years)Non smoker
Ex-smoker (=>8years)",1
223,23,NCT00507572,"All pregnant patients with cancer and patients known to have been pregnant with a diagnosis of cancer are eligible, regardless of their diagnosis or treatment plan.
Patients may receive prenatal care from any obstetrician, but a consult with Maternal Fetal Medicine is encouraged.",,"All pregnant patients with cancer and patients known to have been pregnant with a diagnosis of cancer are eligible, regardless of their diagnosis or treatment plan.
Patients may receive prenatal care from any obstetrician, but a consult with Maternal Fetal Medicine is encouraged.N/A",3
224,24,NCT02435290,"in- and out-patients, with proven malignant disease receiving chemotherapy","Patients receiving experimental agents and
patients who are too ill or unwilling to participate will be excluded.","in- and out-patients, with proven malignant disease receiving chemotherapyPatients receiving experimental agents and
patients who are too ill or unwilling to participate will be excluded.",1
225,25,NCT04403529,"Women aged 18-70 years old;
Pathologically confirmed stage I-III breast cancer after early breast cancer surgery, and is confirmed by histopathology to be triple negative breast cancer (estrogen receptor (ER)-negative/ progesterone receptor (PR)-negative/ human epidermal growth factor receptor 2 (HER2)-negative). HER2-negative is defined as a negative in situ hybridization test or an immunohistochemistry (IHC) status of 0, 1+ or 2+. If IHC is 2+, a negative in situ hybridization test is required by local laboratory testing;
Has an Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1; life expectancy is ≥ 6 months;
Has adequate organ function meeting the following criteria: (1) adequate bone marrow function: hemoglobin ≥ 90 g/L (no blood transfusion within 14 days); absolute neutrophil count ≥ 1.5 x 109 /L; platelet count ≥ 100 * 109 /L; (2)adequate liver and kidney function: Alanine Aminotransferase (ALT) ≤ 3×upper limit of normal (ULN), Aspartate Aminotransferase (AST) ≤ 3×ULN, Total Bilirubin (TBIL)≤ 1.5×ULN, serum creatinine ≤ 1×ULN，and with endogenous creatinine clearance rate of >50 ml/min (Cockcroft-Gault formula).
Participant has completed the last of their post surgical radiotherapy and chemotherapy within the last 6 months before date of enrollment, and no tumor recurrence or metastasis at the time of enrollment.
Participants voluntarily joined the study, has signed informed consent before any trial related activities are conducted, has good compliance and has agreed to follow-up.","Has bilateral breast cancer;
Has previous history of additional malignancy, with the exception of adequately treated basal cell carcinoma and cervical carcinoma in situ.
Has metastatic (Stage 4) breast cancer;
Has any >T4 lesion (UICC1987) (with skin involvement, mass adhesion and fixation, and inflammatory breast cancer);
Is pregnant, is breast feeding women, or women of childbearing age who cannot practice effective contraceptives;
Patients participating in other drug related clinical trials at the same time;
Has severe organ dysfunction (cardiopulmonary liver and kidney) insufficiency, left ventricular ejection fraction (LVEF) < 50% (cardiac ultrasound); severe cardio cerebral vascular disease within the 6 months previous of randomization (such as unstable angina, chronic heart failure, uncontrolled hypertension with blood pressure>150/90mmgh, myocardial infarction, or cerebral blood vessel); diabetic patients with poor blood glucose control; patients with severe hypertension;
Has known allergy to study medication;
Has severe or uncontrolled infection;
Has a history of psychotropic substance abuse and were unable to abandon drug habits, or those with history of mental disorders;
The researchers judged patients to be unsuitable for the study.","Women aged 18-70 years old;
Pathologically confirmed stage I-III breast cancer after early breast cancer surgery, and is confirmed by histopathology to be triple negative breast cancer (estrogen receptor (ER)-negative/ progesterone receptor (PR)-negative/ human epidermal growth factor receptor 2 (HER2)-negative). HER2-negative is defined as a negative in situ hybridization test or an immunohistochemistry (IHC) status of 0, 1+ or 2+. If IHC is 2+, a negative in situ hybridization test is required by local laboratory testing;
Has an Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1; life expectancy is ≥ 6 months;
Has adequate organ function meeting the following criteria: (1) adequate bone marrow function: hemoglobin ≥ 90 g/L (no blood transfusion within 14 days); absolute neutrophil count ≥ 1.5 x 109 /L; platelet count ≥ 100 * 109 /L; (2)adequate liver and kidney function: Alanine Aminotransferase (ALT) ≤ 3×upper limit of normal (ULN), Aspartate Aminotransferase (AST) ≤ 3×ULN, Total Bilirubin (TBIL)≤ 1.5×ULN, serum creatinine ≤ 1×ULN，and with endogenous creatinine clearance rate of >50 ml/min (Cockcroft-Gault formula).
Participant has completed the last of their post surgical radiotherapy and chemotherapy within the last 6 months before date of enrollment, and no tumor recurrence or metastasis at the time of enrollment.
Participants voluntarily joined the study, has signed informed consent before any trial related activities are conducted, has good compliance and has agreed to follow-up.Has bilateral breast cancer;
Has previous history of additional malignancy, with the exception of adequately treated basal cell carcinoma and cervical carcinoma in situ.
Has metastatic (Stage 4) breast cancer;
Has any >T4 lesion (UICC1987) (with skin involvement, mass adhesion and fixation, and inflammatory breast cancer);
Is pregnant, is breast feeding women, or women of childbearing age who cannot practice effective contraceptives;
Patients participating in other drug related clinical trials at the same time;
Has severe organ dysfunction (cardiopulmonary liver and kidney) insufficiency, left ventricular ejection fraction (LVEF) < 50% (cardiac ultrasound); severe cardio cerebral vascular disease within the 6 months previous of randomization (such as unstable angina, chronic heart failure, uncontrolled hypertension with blood pressure>150/90mmgh, myocardial infarction, or cerebral blood vessel); diabetic patients with poor blood glucose control; patients with severe hypertension;
Has known allergy to study medication;
Has severe or uncontrolled infection;
Has a history of psychotropic substance abuse and were unable to abandon drug habits, or those with history of mental disorders;
The researchers judged patients to be unsuitable for the study.",7
